# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,1.81,
1.0,1.81,
2.0,1.81,
3.0,1.81,
4.0,1.81,
5.0,1.81,
6.0,1.81,
7.0,1.28,
8.1,1.33,
9.1,1.43,
10.1,1.52,
11.1,1.71,
12.1,1.72,
13.1,1.72,
14.1,1.72,
15.1,1.72,
16.1,1.72,
17.1,1.72,
18.1,1.72,
19.1,1.72,
20.1,1.72,
21.1,1.72,
22.1,1.72,
23.2,1.72,
24.2,1.72,
25.2,1.72,
26.2,1.72,
27.2,1.72,
28.2,1.72,
29.2,1.72,
30.2,1.72,
31.2,1.72,
32.2,1.72,
33.2,1.72,
34.2,1.72,
35.2,1.72,
36.3,1.72,
37.3,1.72,
38.3,1.72,
39.3,1.75,
40.3,1.75,
41.3,1.75,
42.3,1.75,
