# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,0.61,
1.2,0.61,
2.3,0.61,
3.5,0.61,
4.6,0.61,
5.7,0.61,
6.8,0.61,
8.0,0.61,
9.0,0.61,
10.2,0.61,
11.2,0.61,
12.4,0.61,
13.5,0.61,
14.6,0.65,
15.7,0.74,
16.9,0.78,
17.9,0.82,
18.9,0.84,
20.1,0.85,
21.2,0.9,
22.4,0.93,
23.5,0.96,
24.6,0.98,
25.8,1.01,
26.8,1.03,
27.9,1.08,
29.1,1.12,
30.2,1.13,
31.3,1.15,
32.4,1.16,
33.5,1.18,
34.6,1.2,
35.8,1.22,
36.8,1.24,
37.9,1.26,
38.9,1.25,
40.1,1.28,
41.1,1.26,
42.2,1.27,
43.3,1.26,
44.5,1.23,
45.6,1.15,
46.7,1.13,
47.8,1.13,
48.9,1.1,
50.1,1.11,
51.2,1.19,
52.3,1.19,
