# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,0.89,
1.2,0.88,
2.3,0.8,
3.4,0.8,
4.4,0.67,
5.6,0.65,
6.7,0.59,
7.7,0.55,
8.9,0.53,
10.1,0.49,
11.3,0.42,
12.3,0.3,
13.4,0.37,
14.5,0.34,
15.7,0.31,
16.8,0.28,
17.8,0.28,
18.9,0.3,
20.0,0.31,
21.1,0.33,
22.5,0.32,
23.6,0.32,
24.8,0.34,
25.9,0.36,
27.0,0.39,
28.2,0.4,
29.3,0.55,
30.4,0.63,
31.6,0.62,
32.7,0.64,
33.8,0.65,
34.8,0.68,
35.9,0.69,
37.0,0.72,
38.1,0.76,
39.2,0.79,
40.3,0.83,
41.4,0.85,
42.6,0.89,
43.6,0.93,
44.8,0.96,
45.9,0.98,
46.9,1.01,
48.0,1.03,
49.0,1.06,
50.2,1.22,
51.2,1.42,
52.3,1.42,
