# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,1.42,
1.0,1.42,
2.0,1.43,
3.2,1.44,
4.3,1.44,
5.3,1.44,
6.4,1.44,
7.4,1.44,
8.5,1.45,
9.6,1.47,
10.7,1.49,
11.8,1.49,
12.8,1.49,
13.9,1.49,
15.0,1.49,
16.1,1.49,
17.2,1.49,
18.3,1.49,
19.4,1.49,
20.6,1.49,
21.7,1.49,
22.8,1.5,
23.8,1.5,
24.9,1.5,
26.0,1.5,
27.2,1.5,
28.3,1.5,
29.3,1.5,
30.3,1.5,
31.4,1.5,
32.5,1.5,
33.7,1.5,
34.7,1.5,
35.7,1.48,
36.8,1.48,
37.8,1.48,
38.8,1.48,
39.9,1.48,
40.9,1.48,
42.0,1.48,
43.1,1.49,
44.1,1.57,
45.3,1.57,
46.3,1.57,
47.3,1.57,
