# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.29,
1.0,4.34,
2.0,4.45,
3.0,4.54,
4.0,4.64,
5.0,4.64,
6.0,4.64,
7.0,4.66,
8.0,4.69,
9.0,4.68,
10.0,4.68,
11.0,4.8,
12.0,4.89,
13.0,4.92,
14.0,4.93,
15.0,4.96,
16.0,4.96,
17.0,4.99,
18.0,4.98,
19.0,4.98,
20.0,5.0,
21.0,5.01,
22.0,5.05,
23.0,5.07,
24.0,5.15,
25.0,5.25,
26.0,5.25,
27.0,5.25,
28.0,5.26,
29.0,5.24,
30.0,5.29,
31.0,5.29,
32.0,5.29,
33.0,5.29,
34.0,5.3,
35.0,5.24,
36.0,5.25,
37.1,5.27,
38.1,5.38,
39.1,5.37,
40.1,5.36,
