# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.34,
1.1,5.26,
2.1,5.26,
3.1,5.31,
4.1,5.3,
5.1,5.3,
6.1,5.29,
7.1,5.31,
8.1,5.33,
9.1,5.33,
10.1,5.32,
11.1,5.33,
12.2,5.33,
13.2,5.32,
14.2,5.32,
15.2,5.25,
16.2,5.25,
17.2,5.27,
18.2,5.31,
19.2,5.35,
20.2,5.36,
21.2,5.37,
22.2,5.38,
23.2,5.38,
24.4,5.38,
25.4,5.37,
26.4,5.36,
27.4,5.36,
28.4,5.38,
29.4,5.38,
30.4,5.4,
31.5,5.4,
32.5,5.41,
33.5,5.42,
34.5,5.41,
35.5,5.41,
36.5,5.41,
37.5,5.43,
38.7,5.43,
39.7,5.43,
40.7,5.44,
41.7,5.44,
42.7,5.45,
43.7,5.46,
44.8,5.49,
45.8,5.49,
46.8,5.5,
47.8,5.5,
48.9,5.52,
49.9,5.58,
50.9,5.58,
51.9,5.59,
