# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,6.53,
1.0,6.44,
2.0,6.5,
3.0,6.54,
4.0,6.39,
5.0,6.39,
6.0,6.39,
7.0,5.9,
8.0,6.0,
9.0,6.01,
10.0,6.07,
11.0,6.08,
12.0,6.13,
13.0,6.16,
14.0,6.14,
15.0,6.26,
16.0,6.25,
17.0,6.28,
18.1,6.31,
19.1,6.3,
20.1,6.3,
21.1,6.29,
22.1,6.31,
23.1,6.34,
24.1,6.34,
25.1,6.33,
26.1,6.33,
27.1,6.35,
28.1,6.34,
29.1,6.27,
30.1,6.28,
31.2,6.27,
32.2,6.25,
33.3,6.22,
34.3,6.23,
35.3,6.23,
36.3,6.22,
37.3,6.26,
38.3,6.27,
39.4,6.28,
40.4,6.29,
41.4,6.29,
42.4,6.31,
43.4,6.21,
44.4,6.22,
45.4,6.22,
46.4,6.24,
47.4,6.24,
48.5,6.23,
49.5,6.22,
50.5,6.21,
51.5,6.21,
52.5,6.2,
53.5,6.21,
54.5,6.2,
55.5,6.22,
56.6,6.23,
57.6,6.24,
58.6,6.27,
59.6,6.29,
60.6,6.29,
61.6,6.3,
62.7,6.31,
63.7,6.32,
64.7,6.31,
65.7,6.22,
66.7,6.23,
67.7,6.23,
