# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,6.34,
1.0,6.24,
2.0,6.29,
3.0,6.35,
4.0,6.35,
5.0,6.35,
6.0,6.39,
7.0,6.39,
8.0,6.41,
9.1,6.42,
10.1,6.42,
11.2,6.43,
12.6,6.43,
13.9,6.42,
15.0,6.41,
16.3,6.42,
17.6,6.42,
18.7,6.42,
19.8,6.42,
20.9,6.42,
22.0,6.36,
23.0,6.36,
24.0,6.33,
25.0,6.31,
26.0,6.3,
27.0,6.32,
28.1,6.32,
29.1,6.29,
30.1,6.29,
31.1,6.32,
32.1,6.32,
33.1,6.32,
34.1,6.32,
35.1,6.33,
36.1,6.32,
37.1,6.33,
38.1,6.33,
39.1,6.32,
40.1,6.32,
41.1,6.33,
42.1,6.33,
43.1,6.33,
44.2,6.33,
45.2,6.33,
46.2,6.33,
47.2,6.33,
48.2,6.21,
49.2,6.27,
50.2,6.36,
51.2,6.36,
52.2,6.37,
