# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,0.47,
1.0,0.47,
2.1,0.48,
3.1,0.48,
4.1,0.48,
5.1,0.48,
6.1,0.48,
7.1,0.48,
8.1,0.52,
9.1,0.64,
10.1,0.67,
11.2,0.7,
12.2,0.74,
13.2,0.78,
14.2,0.82,
15.2,0.92,
16.2,0.96,
17.2,0.96,
18.2,0.97,
19.3,0.97,
20.5,0.97,
21.6,0.97,
22.6,0.97,
23.7,0.97,
24.9,0.98,
26.2,0.98,
27.5,0.99,
28.6,0.99,
29.7,0.99,
31.1,0.99,
32.1,0.98,
33.2,0.99,
34.2,1.0,
35.2,1.01,
36.2,1.02,
37.3,1.03,
38.3,1.03,
39.3,1.06,
40.3,1.06,
41.4,1.06,
42.4,1.06,
43.4,1.06,
44.4,1.06,
45.5,1.07,
46.5,1.07,
47.5,1.07,
48.5,1.07,
49.6,1.07,
50.6,1.07,
51.7,1.07,
52.7,1.07,
53.7,1.07,
54.7,1.07,
55.7,1.08,
56.8,1.08,
57.8,0.97,
58.8,0.97,
59.8,0.97,
60.8,0.97,
