# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,1.3,
1.0,1.29,
2.0,1.29,
3.0,1.29,
4.0,1.29,
5.0,1.29,
6.0,1.28,
7.1,1.28,
8.1,1.28,
9.2,1.27,
10.2,1.27,
11.3,0.92,
12.4,0.92,
13.6,0.97,
14.8,0.97,
15.9,1.0,
17.0,1.0,
18.1,1.02,
19.2,1.02,
20.2,1.03,
21.3,1.03,
22.4,1.03,
23.6,1.04,
24.8,1.04,
25.9,1.04,
26.9,1.04,
28.0,1.04,
29.2,1.03,
30.2,1.04,
31.5,1.04,
32.7,1.04,
33.7,1.04,
34.8,1.04,
35.8,1.04,
36.9,1.05,
37.9,1.05,
39.2,1.06,
40.4,1.06,
41.5,1.06,
42.6,1.07,
43.7,1.08,
44.8,1.08,
45.8,1.08,
46.8,1.09,
47.8,1.09,
