# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,1.12,
1.0,1.12,
2.0,1.12,
3.0,1.12,
4.0,1.12,
5.0,1.12,
6.0,1.12,
7.0,1.12,
8.1,1.15,
9.1,1.15,
10.1,1.15,
11.6,1.15,
12.7,1.16,
13.8,1.15,
14.9,1.16,
16.1,1.16,
17.2,1.15,
18.3,1.15,
19.8,1.17,
21.0,1.18,
22.0,1.21,
23.1,1.21,
24.1,1.23,
25.1,1.23,
26.2,1.15,
27.3,1.16,
28.3,1.16,
29.5,1.15,
30.5,1.16,
31.5,1.16,
32.7,1.16,
33.7,1.19,
34.7,1.21,
35.8,1.21,
36.8,1.22,
37.9,1.23,
38.9,1.23,
39.9,1.15,
41.0,1.16,
42.0,1.16,
43.0,1.17,
44.1,1.17,
45.1,1.15,
46.1,1.14,
47.2,1.14,
48.2,1.14,
49.3,1.14,
50.3,1.16,
51.4,1.17,
52.4,1.19,
53.4,1.22,
54.5,1.23,
55.5,1.23,
56.7,1.23,
57.8,1.26,
58.8,1.26,
59.9,1.27,
60.9,1.15,
61.9,1.15,
62.9,1.14,
63.9,1.14,
