# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,1.1,
1.0,1.1,
2.0,1.1,
3.0,1.1,
4.0,1.1,
5.0,1.1,
6.0,1.09,
7.0,1.09,
8.1,1.09,
9.1,1.09,
10.1,1.09,
11.2,1.09,
12.3,1.09,
13.6,1.1,
15.1,1.1,
16.1,1.11,
17.7,1.11,
19.7,1.1,
20.8,1.09,
21.9,1.08,
23.0,1.08,
24.0,1.09,
25.1,1.1,
26.2,1.11,
27.2,1.12,
28.2,1.13,
29.3,1.15,
30.3,1.15,
31.3,1.15,
32.3,1.15,
33.4,1.15,
34.4,1.15,
35.4,1.14,
36.4,1.14,
37.4,1.14,
38.5,1.13,
39.5,1.13,
40.5,1.13,
41.6,1.13,
42.6,1.12,
43.6,1.12,
44.7,1.12,
45.7,1.12,
46.7,1.12,
47.7,1.12,
48.7,1.01,
49.8,1.01,
50.8,1.01,
51.8,1.0,
