# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,6.3,
1.0,6.21,
2.0,6.22,
3.0,6.27,
4.0,6.28,
5.0,6.28,
6.0,6.26,
7.0,5.45,
8.0,5.86,
9.0,5.9,
10.0,5.93,
11.0,5.95,
12.0,5.98,
13.0,5.93,
14.0,5.97,
15.0,6.07,
16.0,6.12,
17.1,6.13,
18.1,6.13,
19.1,6.12,
20.1,6.13,
21.5,6.15,
22.6,6.15,
23.6,6.38,
24.6,6.44,
25.6,6.33,
26.6,6.35,
27.6,6.39,
28.6,6.4,
29.6,6.41,
30.6,6.41,
31.7,6.41,
32.7,6.42,
33.7,6.42,
34.7,6.41,
35.7,6.4,
36.7,6.41,
37.7,6.41,
38.7,6.41,
39.7,6.43,
40.7,6.44,
41.8,6.45,
42.8,6.45,
43.8,6.46,
44.8,6.46,
45.8,6.46,
46.8,6.47,
47.8,6.47,
48.9,6.49,
49.9,6.49,
50.9,6.5,
52.0,6.51,
53.0,6.52,
54.0,6.52,
55.0,6.55,
56.1,6.52,
57.1,6.54,
58.1,6.59,
59.1,6.58,
