# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,6.58,
1.0,6.47,
2.0,6.57,
3.0,6.65,
4.0,6.66,
5.0,6.66,
6.0,6.66,
7.0,6.69,
8.0,6.71,
9.0,6.69,
10.0,6.74,
11.0,6.75,
12.1,6.75,
13.1,6.76,
14.1,6.74,
15.1,6.73,
16.2,6.74,
17.2,6.74,
18.2,6.59,
19.3,6.54,
20.3,6.54,
21.3,6.55,
22.5,6.55,
23.6,6.48,
25.6,6.46,
26.7,6.43,
27.7,6.42,
28.7,6.44,
29.7,6.42,
30.8,6.42,
31.8,6.43,
32.8,6.4,
33.8,6.32,
34.8,6.32,
35.8,6.33,
36.9,6.32,
37.9,6.3,
38.9,6.3,
39.9,6.31,
40.9,6.3,
41.9,6.31,
42.9,6.34,
43.9,6.34,
45.0,6.34,
46.0,6.35,
47.0,6.35,
48.0,6.37,
49.0,6.36,
50.0,6.29,
51.0,6.27,
52.1,6.28,
53.1,6.29,
54.1,6.29,
55.1,6.3,
56.1,6.3,
57.1,6.31,
58.1,6.28,
59.1,6.27,
60.2,6.26,
61.2,6.26,
62.2,6.26,
63.2,6.26,
64.2,6.28,
65.4,6.28,
66.4,6.28,
67.4,6.3,
68.4,6.31,
69.4,6.34,
70.4,6.34,
71.4,6.34,
72.4,6.34,
73.5,6.34,
74.5,6.36,
75.5,6.25,
76.5,6.27,
77.5,6.27,
78.5,6.27,
