# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,6.24,
1.0,6.11,
2.0,6.21,
3.0,6.24,
4.0,6.18,
5.0,6.18,
6.0,6.18,
7.0,6.23,
8.0,6.21,
9.0,6.21,
10.0,6.22,
11.1,6.23,
12.3,6.22,
13.4,6.21,
14.6,6.21,
15.6,6.21,
16.8,6.21,
17.8,6.2,
18.8,6.21,
19.8,6.22,
20.8,6.23,
21.8,6.25,
22.8,6.26,
23.8,6.2,
24.8,6.19,
25.8,6.19,
26.8,6.21,
27.8,6.19,
28.8,6.2,
29.8,6.21,
30.8,6.21,
31.8,6.2,
32.8,6.2,
33.8,6.21,
34.8,6.2,
35.8,6.2,
36.8,6.21,
37.9,6.22,
38.9,6.14,
39.9,6.28,
40.9,6.3,
41.9,6.3,
