# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.28,
1.0,5.36,
2.0,5.41,
3.0,5.55,
4.0,5.63,
5.0,5.61,
6.0,5.61,
7.0,5.62,
8.0,5.63,
9.0,5.63,
10.0,5.63,
11.0,5.97,
12.0,6.14,
13.0,6.17,
14.0,6.19,
15.0,6.2,
16.0,6.22,
17.0,6.28,
18.0,6.27,
19.0,6.27,
20.0,6.29,
21.0,6.3,
22.0,6.31,
23.1,6.31,
24.1,6.37,
25.1,6.41,
26.1,6.46,
27.1,6.55,
28.1,6.55,
29.1,6.55,
30.1,6.59,
31.1,6.52,
32.1,6.52,
33.1,6.53,
34.1,6.56,
35.1,6.56,
36.1,6.56,
37.2,6.57,
38.3,6.58,
39.4,6.58,
40.5,6.58,
41.6,6.58,
42.7,6.59,
43.8,6.6,
44.9,6.59,
45.9,6.59,
46.9,6.6,
47.9,6.61,
48.9,6.63,
49.9,6.64,
50.9,6.66,
51.9,6.68,
53.0,6.68,
54.0,6.68,
55.0,6.68,
56.0,6.68,
57.0,6.68,
58.0,6.68,
59.0,6.68,
60.0,6.67,
61.0,6.65,
62.0,6.65,
63.0,6.65,
64.0,6.65,
65.0,6.64,
66.0,6.64,
67.1,6.65,
68.1,6.66,
69.1,6.57,
70.1,6.66,
71.1,6.79,
72.2,6.78,
73.2,6.78,
74.2,6.76,
75.2,6.76,
