# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,1.45,
1.0,1.45,
2.1,1.45,
3.1,1.45,
4.1,1.45,
5.1,1.45,
6.1,1.45,
7.1,1.45,
8.1,1.47,
9.1,1.47,
10.1,1.47,
11.4,1.47,
12.4,1.51,
13.4,1.53,
14.4,1.7,
15.4,1.8,
16.4,1.94,
17.4,1.97,
18.5,1.99,
19.5,2.02,
20.5,2.06,
21.5,2.13,
22.5,2.2,
23.5,2.21,
24.5,2.22,
25.5,2.22,
26.5,2.23,
27.5,2.24,
28.6,2.24,
29.6,2.24,
30.6,2.26,
31.6,2.27,
32.6,2.26,
33.7,2.31,
34.7,2.34,
35.7,2.34,
36.7,2.35,
37.7,2.35,
38.7,2.35,
39.7,2.26,
40.7,2.26,
41.7,2.26,
42.7,2.26,
43.7,2.26,
