# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,2.02,
1.0,2.01,
2.0,2.01,
3.0,2.0,
4.0,2.0,
5.0,1.99,
6.0,1.99,
7.0,1.98,
8.1,1.98,
9.2,1.97,
10.2,1.97,
11.3,1.55,
12.4,1.56,
13.6,1.65,
15.0,1.71,
16.2,1.78,
17.8,1.78,
18.9,1.8,
19.9,1.82,
21.0,1.84,
22.1,1.85,
23.2,1.85,
24.3,1.85,
25.3,1.86,
26.4,1.87,
27.5,1.87,
28.6,1.88,
29.6,1.88,
30.7,1.88,
31.8,1.88,
32.9,1.88,
34.0,1.89,
35.0,1.89,
36.1,1.9,
37.1,1.9,
38.2,1.91,
39.2,1.93,
40.2,1.93,
41.4,1.95,
42.5,1.96,
43.5,1.97,
44.6,1.97,
45.8,1.97,
46.9,1.97,
48.0,1.98,
49.0,1.98,
50.0,1.97,
