# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,1.96,
1.0,1.96,
2.0,1.96,
3.0,1.96,
4.0,1.96,
5.0,1.96,
6.0,1.95,
7.0,1.96,
8.0,1.97,
9.1,1.97,
10.1,1.97,
11.1,1.97,
12.1,1.97,
13.1,1.96,
14.1,1.95,
15.1,1.95,
16.1,1.94,
17.1,1.94,
18.1,1.93,
19.1,1.93,
20.1,1.93,
21.2,1.92,
22.2,1.92,
23.2,1.92,
24.2,1.91,
25.2,1.91,
26.2,1.9,
27.2,1.89,
28.2,1.89,
29.3,1.89,
30.3,1.89,
31.3,1.89,
32.3,1.89,
33.3,1.88,
34.3,1.88,
35.3,1.88,
36.3,1.88,
37.3,1.88,
38.4,1.87,
39.4,1.87,
40.4,1.87,
41.4,1.87,
42.4,1.87,
43.4,1.86,
44.4,1.86,
45.4,1.86,
46.4,1.86,
47.4,1.86,
48.4,1.85,
49.4,1.84,
50.5,1.85,
51.5,1.84,
52.5,1.83,
53.6,1.82,
54.7,1.81,
55.7,1.81,
56.7,1.81,
57.7,1.8,
