# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,1.8,
1.0,1.8,
2.0,1.79,
3.0,1.78,
4.1,1.77,
5.1,1.77,
6.1,1.76,
7.1,1.75,
8.1,1.75,
9.1,1.74,
10.3,1.74,
11.4,1.74,
12.5,1.74,
13.6,1.74,
14.8,1.73,
16.0,1.72,
17.2,1.71,
18.3,1.71,
19.4,1.72,
20.4,1.74,
21.5,1.74,
22.5,1.74,
23.6,1.75,
24.6,1.75,
25.7,1.75,
26.7,1.75,
27.8,1.66,
28.9,1.66,
29.9,1.66,
30.9,1.64,
32.0,1.64,
33.0,1.62,
34.1,1.65,
35.1,1.68,
36.2,1.68,
37.2,1.7,
38.2,1.7,
39.3,1.7,
40.3,1.61,
41.4,1.62,
42.5,1.63,
43.5,1.63,
44.5,1.63,
45.6,1.6,
46.6,1.6,
47.7,1.59,
48.7,1.59,
49.8,1.59,
50.8,1.6,
51.9,1.61,
52.9,1.63,
54.1,1.66,
55.1,1.66,
56.2,1.66,
57.4,1.67,
58.4,1.69,
59.4,1.69,
60.5,1.57,
61.6,1.56,
62.6,1.56,
63.6,1.56,
64.6,1.56,
